Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Zip,94964,CA,Marin County,San Quentin,2/28/2022,6.2
Zip,94965,CA,Marin County,Sausalito,2/28/2022,2.7
Zip,94970,CA,Marin County,Stinson Beach,2/28/2022,0.8
Zip,94971,CA,Marin County,Tomales,2/28/2022,1.3
Zip,94973,CA,Marin County,Woodacre,2/28/2022,5.1
Zip,95002,CA,Santa Clara County,San Jose,2/28/2022,4.4
Zip,95008,CA,Santa Clara County,Campbell,2/28/2022,3.6
Zip,95014,CA,Santa Clara County,Cupertino,2/28/2022,3.6
Zip,95020,CA,Santa Clara County,Gilroy,2/28/2022,3.6
Zip,95030,CA,Santa Clara County,Los Gatos,2/28/2022,3.6
Zip,95032,CA,Santa Clara County,Los Gatos,2/28/2022,3.3
Zip,95033,CA,Santa Clara County,Lexington Hills,2/28/2022,3.6
Zip,95035,CA,Santa Clara County,Milpitas,2/28/2022,4
Zip,95037,CA,Santa Clara County,Morgan Hill,2/28/2022,4.7
Zip,95046,CA,Santa Clara County,San Martin,2/28/2022,7.1
Zip,95050,CA,Santa Clara County,Santa Clara,2/28/2022,3.8
Zip,95051,CA,Santa Clara County,Santa Clara,2/28/2022,2.6
Zip,95054,CA,Santa Clara County,Santa Clara,2/28/2022,2.6
Zip,95070,CA,Santa Clara County,Saratoga,2/28/2022,4.8
Zip,95110,CA,Santa Clara County,San Jose,2/28/2022,1.3
Zip,95111,CA,Santa Clara County,San Jose,2/28/2022,4.5
Zip,95112,CA,Santa Clara County,San Jose,2/28/2022,3.1
Zip,95113,CA,Santa Clara County,San Jose,2/28/2022,0.4
Zip,95116,CA,Santa Clara County,San Jose,2/28/2022,5.1
Zip,95117,CA,Santa Clara County,San Jose,2/28/2022,3.6
Zip,95118,CA,Santa Clara County,San Jose,2/28/2022,5.1
Zip,95119,CA,Santa Clara County,San Jose,2/28/2022,5.7
Zip,95120,CA,Santa Clara County,San Jose,2/28/2022,4.5
Zip,95121,CA,Santa Clara County,San Jose,2/28/2022,5
Zip,95122,CA,Santa Clara County,San Jose,2/28/2022,4.4
Zip,95123,CA,Santa Clara County,San Jose,2/28/2022,3.5
Zip,95124,CA,Santa Clara County,San Jose,2/28/2022,4.2
Zip,95125,CA,Santa Clara County,San Jose,2/28/2022,3.4
Zip,95126,CA,Santa Clara County,San Jose,2/28/2022,3
Zip,95127,CA,Santa Clara County,San Jose,2/28/2022,4.3
Zip,95128,CA,Santa Clara County,San Jose,2/28/2022,3.9
Zip,95129,CA,Santa Clara County,San Jose,2/28/2022,4.2
Zip,95130,CA,Santa Clara County,San Jose,2/28/2022,3.2
Zip,95131,CA,Santa Clara County,San Jose,2/28/2022,2.5
Zip,95132,CA,Santa Clara County,San Jose,2/28/2022,3.2
Zip,95133,CA,Santa Clara County,San Jose,2/28/2022,3.4
Zip,95134,CA,Santa Clara County,San Jose,2/28/2022,2.8
Zip,95135,CA,Santa Clara County,San Jose,2/28/2022,4.9
Zip,95136,CA,Santa Clara County,San Jose,2/28/2022,3.4
Zip,95138,CA,Santa Clara County,San Jose,2/28/2022,4.7
Zip,95139,CA,Santa Clara County,San Jose,2/28/2022,5.7
Zip,95140,CA,Santa Clara County,East Foothills,2/28/2022,5.2
Zip,95141,CA,Santa Clara County,San Jose,2/28/2022,3.8
Zip,95148,CA,Santa Clara County,San Jose,2/28/2022,4.5
